Task ID,Start date ('YYYY-MM-DD'),End date  ('YYYY-MM-DD'),Start date since project start ,End date since project start 
523,'2016-08-01','2017-05-10',335,617
524,'2016-08-01','2017-05-10',335,617
525,'2016-08-01','2017-05-10',335,617
526,'2016-10-31','2017-02-24',426,542
527,'2016-06-27','2016-06-27',300,300
528,'2016-06-25','2016-08-26',298,360
529,'2017-01-30','2017-02-03',517,521
530,'2017-01-30','2017-03-10',517,556
531,'2016-11-15','2017-01-30',441,517
532,'2017-02-27','2017-03-31',545,577
533,'2016-10-31','2016-12-23',426,479
534,'2017-01-31','2017-02-27',518,545
535,'2017-02-28','2017-04-28',546,605
536,'2017-01-30','2017-02-03',517,521
537,'2016-08-01','2016-08-05',335,339
538,'2017-01-30','2017-02-03',517,521
539,'2017-01-30','2017-02-03',517,521
540,'2017-01-30','2017-02-03',517,521
541,'2017-01-30','2017-02-03',517,521
542,'2017-01-30','2017-02-03',517,521
543,'2017-01-30','2017-02-03',517,521
544,'2016-08-01','2016-08-05',335,339
545,'2016-08-01','2016-08-05',335,339
546,'2016-08-01','2016-08-05',335,339
547,'2016-08-01','2016-08-05',335,339
548,'2017-01-30','2017-02-03',517,521
549,'2016-08-01','2016-08-05',335,339
550,'2016-08-01','2016-08-05',335,339
551,'2016-08-01','2016-08-05',335,339
552,'2016-08-01','2016-08-05',335,339
553,'2016-08-01','2016-08-05',335,339
554,'2017-01-30','2017-02-24',517,542
555,'2016-08-01','2016-08-05',335,339
556,'2016-08-01','2016-08-05',335,339
557,'2017-01-30','2017-06-21',517,659
558,'2016-08-01','2016-08-05',335,339
559,'2016-08-01','2016-08-05',335,339
560,'2016-08-01','2016-08-12',335,346
561,'2017-02-27','2017-04-10',545,587
562,'2016-08-01','2016-08-05',335,339
563,'2017-02-16','2017-02-24',534,542
564,'2017-02-16','2017-05-26',534,633
565,'2017-01-30','2017-01-30',517,517
566,'2017-01-30','2017-01-30',517,517
567,'2017-01-30','2017-01-30',517,517
568,'2017-01-30','2017-01-30',517,517
569,'2017-01-30','2017-01-30',517,517
570,'2017-01-30','2017-01-30',517,517
571,'2017-02-06','2017-02-06',524,524
572,'2017-02-06','2017-02-06',524,524
573,'2017-03-20','2017-03-20',566,566
574,'2017-03-28','2017-03-28',574,574
575,'2017-03-29','2017-03-29',575,575
576,'2017-01-30','2017-06-30',517,668
577,'2017-01-30','2017-06-30',517,668
578,'2017-01-30','2017-06-30',517,668
579,'2017-01-30','2017-06-30',517,668
580,'2017-01-30','2017-06-30',517,668
581,'2017-01-30','2017-06-30',517,668
582,'2017-01-30','2017-06-30',517,668
583,'2017-01-30','2017-06-30',517,668
584,'2017-01-30','2017-07-27',517,695
585,'2017-01-30','2017-06-30',517,668
586,'2017-01-30','2017-07-27',517,695
587,'2017-01-30','2017-04-11',517,588
